RC-COMBINED GENDER BY RACE INDICATOR,RC-ILLICIT DRUG OTHER THAN MARIJUANA - EVER USED,RECODED # R's CHILDREN < 18 IN HOUSEHOLD,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Unweighted Count,Count SE
Overall,Overall,Overall,1.0,0.0,N/A,N/A,1.0,0.0,N/A,N/A,1.0,0.0,N/A,N/A,31769538.608073674,7525,804793.8746573885
Overall,Overall,0,0.8953122497224985,0.0068147249791804965,0.8808131980919452,0.9082312591542019,1.0,0.0,N/A,N/A,0.8953122497224985,0.0068147249791804965,0.8808131980919452,0.9082312591542019,28443657.083840214,6731,758874.3791691139
Overall,Overall,1,0.0662858031778115,0.00584694348561988,0.0554648484915351,0.07904121553030807,1.0,0.0,N/A,N/A,0.0662858031778115,0.00584694348561988,0.0554648484915351,0.07904121553030807,2105869.3832246554,474,194478.45411372592
Overall,Overall,2,0.03022144990754138,0.0031861148148635073,0.024438145543424977,0.03732101938643002,1.0,0.0,N/A,N/A,0.03022144990754138,0.0031861148148635073,0.024438145543424977,0.03732101938643002,960121.5196296005,232,105599.70510811842
Overall,Overall,3 - 3 or more,0.008180497192148717,0.0013922763459124146,0.005809388517416276,0.011508174274643557,1.0,0.0,N/A,N/A,0.008180497192148717,0.0013922763459124146,0.005809388517416276,0.011508174274643557,259890.62137920695,88,42033.17600360545
Overall,0 - Never used drug/used only marijuana,Overall,0.7311650955858505,0.009490021562546278,0.7116823513872781,0.7497941650288014,0.7311650955858505,0.009490021562546278,0.7116823513872781,0.7497941650288014,1.0,0.0,N/A,N/A,23228777.733090557,5508,746177.566175859
Overall,0 - Never used drug/used only marijuana,0,0.653810451029889,0.009838139901383682,0.6337938913177442,0.6732968933856139,0.7302596956900088,0.009880606609934766,0.7099601592173715,0.7496395022607746,0.8942035868192248,0.007971028514479605,0.8770925944194612,0.9091790794371931,20771256.36635612,4905,694063.4330183241
Overall,0 - Never used drug/used only marijuana,1,0.04849892345774234,0.004661594969554225,0.03994844572497292,0.058767499484041606,0.731663812349744,0.03345607126722896,0.6594424520943484,0.7933684412052833,0.06633101573165535,0.006292179260678642,0.05475720079221908,0.08014372861168505,1540788.4212407554,350,154498.57573165692
Overall,0 - Never used drug/used only marijuana,2,0.022531711657858496,0.002876523704254566,0.017423183700499723,0.029093724489354295,0.7455536291869302,0.044139752035636165,0.6474137002800056,0.8238110023605958,0.030816175161924027,0.0038361905561451752,0.023976726233513136,0.03952759003492114,715822.0834203191,182,94588.84193732786
Overall,0 - Never used drug/used only marijuana,3 - 3 or more,0.006324009440360174,0.0012965572255655088,0.004187412185646553,0.009540345769243529,0.7730593008979554,0.07800753545752702,0.582385896930969,0.8927130864437552,0.008649222287194964,0.0017819901148489767,0.005714424939023105,0.013071449019107029,200910.86207334494,71,39897.92559043022
Overall,1 - Illicit drug except for marijuana are ever used,Overall,0.26883490441414987,0.009490021562546283,0.25020583497119914,0.2883176486127223,0.26883490441414987,0.009490021562546283,0.25020583497119914,0.2883176486127223,1.0,0.0,N/A,N/A,8540760.87498313,2017,306145.6345464999
Overall,1 - Illicit drug except for marijuana are ever used,0,0.24150179869260927,0.00916170766151847,0.22358042424166488,0.26037793952665145,0.26974030430999085,0.009880606609934763,0.25036049773922514,0.2900398407826282,0.8983275412800082,0.010922126634967777,0.8741970395848466,0.9182622940199099,7672400.717484087,1826,292510.03358523274
Overall,1 - Illicit drug except for marijuana are ever used,1,0.01778687972006913,0.0028152515263910587,0.01293227341180952,0.02441875906020881,0.26833618765025546,0.033456071267228965,0.20663155879471623,0.3405575479056511,0.06616283610504609,0.010190772564636552,0.04840797897144861,0.08981510535163603,565080.9619838989,124,90437.89171408888
Overall,1 - Illicit drug except for marijuana are ever used,2,0.007689738249682877,0.001464860964340726,0.005242316346062246,0.011266819468563642,0.2544463708130694,0.04413975203563615,0.17618899763940385,0.3525862997199941,0.028603942878773502,0.005508998332378256,0.019389937236962276,0.04200882942536917,244299.43620928103,50,46828.335170483595
Overall,1 - Illicit drug except for marijuana are ever used,3 - 3 or more,0.0018564877517885429,0.0006878826900598987,0.0008816578627141191,0.0039049531487090677,0.22694069910204462,0.07800753545752702,0.10728691355624476,0.41761410306903096,0.006905679736172043,0.0025299187479159197,0.0033035765111688055,0.0143787280121382,58979.75930586201,17,21571.289550848796
"1 - Male, White, Not Hisp",Overall,Overall,1.0,0.0,N/A,N/A,1.0,0.0,N/A,N/A,1.0,0.0,N/A,N/A,8759833.14569154,2020,286185.6877454089
"1 - Male, White, Not Hisp",Overall,0,0.9399603927390092,0.008248190708893698,0.9210917543314039,0.9545398216837299,1.0,0.0,N/A,N/A,0.9399603927390092,0.008248190708893698,0.9210917543314039,0.9545398216837299,8233896.20395241,1898,277748.0891101263
"1 - Male, White, Not Hisp",Overall,1,0.03337271842286473,0.00792399371995631,0.020644407639579466,0.05351981221622971,1.0,0.0,N/A,N/A,0.03337271842286473,0.00792399371995631,0.020644407639579466,0.05351981221622971,292339.4450024412,69,70418.48495157159
"1 - Male, White, Not Hisp",Overall,2,0.016761237614369418,0.003726721790154804,0.01070816956037939,0.026145528715636652,1.0,0.0,N/A,N/A,0.016761237614369418,0.003726721790154804,0.01070816956037939,0.026145528715636652,146825.644817165,38,32815.88347984316
"1 - Male, White, Not Hisp",Overall,3 - 3 or more,0.009905651223757394,0.002613069282029585,0.005824472703306718,0.01679817235090651,1.0,0.0,N/A,N/A,0.009905651223757394,0.002613069282029585,0.005824472703306718,0.01679817235090651,86771.85191952999,15,22999.16551585942
"1 - Male, White, Not Hisp",0 - Never used drug/used only marijuana,Overall,0.6682793920366101,0.017714479884957078,0.6317915990719905,0.7028520024523021,0.6682793920366101,0.017714479884957078,0.6317915990719905,0.7028520024523021,1.0,0.0,N/A,N/A,5854015.968944889,1378,253349.16822274963
"1 - Male, White, Not Hisp",0 - Never used drug/used only marijuana,0,0.6280543609641654,0.020222928517623147,0.5866171137221624,0.6676909359280816,0.6681710908414329,0.019631477678352948,0.6276345253362993,0.7063593423827963,0.9398080629871629,0.011194660880999723,0.9129862528670647,0.9587357829492227,5501651.408470015,1288,260111.3314110304
"1 - Male, White, Not Hisp",0 - Never used drug/used only marijuana,1,0.02073370678709073,0.0065913771887914675,0.010910101999016274,0.03905337001344416,0.6212771319487536,0.1036371106373452,0.40378438556770296,0.7989374166653157,0.031025506747864643,0.009973232516165937,0.016178543071562405,0.058684723767852984,181623.81194660702,49,58462.35673183851
"1 - Male, White, Not Hisp",0 - Never used drug/used only marijuana,2,0.012770633391400471,0.003283190462945805,0.00760879523145825,0.021358915534791828,0.7619147037479023,0.10208977455268539,0.5082034114602972,0.908345158614031,0.019109721986909422,0.0049852086192301555,0.011290373783723972,0.03216830375652886,111868.617673465,30,28440.31727407742
"1 - Male, White, Not Hisp",0 - Never used drug/used only marijuana,3 - 3 or more,0.006720690893953365,0.0016368173709599542,0.004117786042052436,0.010950832733981656,0.6784703743490056,0.15069538555188602,0.3450774950995503,0.8941878150562724,0.010056708278062819,0.0025113189666679256,0.0060835056214293744,0.016581560591304553,58872.130854799994,11,14252.610618322613
"1 - Male, White, Not Hisp",1 - Illicit drug except for marijuana are ever used,Overall,0.3317206079633903,0.017714479884957075,0.2971479975476984,0.36820840092801005,0.3317206079633903,0.017714479884957075,0.2971479975476984,0.36820840092801005,1.0,0.0,N/A,N/A,2905817.1767466557,642,177031.85276198914
"1 - Male, White, Not Hisp",1 - Illicit drug except for marijuana are ever used,0,0.3119060317748435,0.01814062766149304,0.27667898569680116,0.3494513553476764,0.3318289091585669,0.019631477678352945,0.29364065761720354,0.3723654746637006,0.9402672739863855,0.014957259023422877,0.9021534028843043,0.9641251490629388,2732244.795482393,610,176360.06112842343
"1 - Male, White, Not Hisp",1 - Illicit drug except for marijuana are ever used,1,0.012639011635773988,0.004068158805469635,0.006606816932497656,0.024045443840242674,0.37872286805124605,0.10363711063734517,0.2010625833346841,0.5962156144322965,0.03810137607479867,0.0122787837254931,0.019809431652419968,0.07204258157803334,110715.63305583403,20,35665.02853028508
