RC-COMBINED GENDER BY RACE INDICATOR,RC-ILLICIT DRUG OTHER THAN MARIJUANA - EVER USED,RECODED # R's CHILDREN < 18 IN HOUSEHOLD,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Unweighted Count,Count SE
Overall,Overall,Overall,1.0,0.0,N/A,N/A,1.0,0.0,N/A,N/A,1.0,0.0,N/A,N/A,57682105.524063416,6983,1252983.6465268224
Overall,Overall,0,0.42152066712713243,0.010074119337156927,0.40142857870809806,0.4418760139015055,1.0,0.0,N/A,N/A,0.42152066712713243,0.010074119337156927,0.40142857870809806,0.4418760139015055,24314199.601800863,2794,701234.5021832929
Overall,Overall,1,0.20769025205288708,0.008143416426458846,0.19180824731253526,0.2245219780430437,1.0,0.0,N/A,N/A,0.20769025205288708,0.008143416426458846,0.19180824731253526,0.2245219780430437,11980011.035233961,1416,590026.4515819013
Overall,Overall,2,0.23434966765225626,0.009289804432931018,0.21620805930152745,0.25352113228278006,1.0,0.0,N/A,N/A,0.23434966765225626,0.009289804432931018,0.21620805930152745,0.25352113228278006,13517782.259046637,1796,588060.8664946004
Overall,Overall,3 - 3 or more,0.1364394131677306,0.006228529100304603,0.1244049091958022,0.14943940161959002,1.0,0.0,N/A,N/A,0.1364394131677306,0.006228529100304603,0.1244049091958022,0.14943940161959002,7870112.627982323,977,418936.3089111406
Overall,0 - Never used drug/used only marijuana,Overall,0.670269246592173,0.00842809288171091,0.6531257202537557,0.6869715738394195,0.670269246592173,0.00842809288171091,0.6531257202537557,0.6869715738394195,1.0,0.0,N/A,N/A,38662541.41146421,4563,959921.6692578846
Overall,0 - Never used drug/used only marijuana,0,0.257826670176662,0.008610834096358787,0.24091303401273217,0.27549679009565126,0.6116584316823079,0.011319861551026236,0.5886939083302292,0.6341376253698238,0.38466134540339025,0.012202066150797185,0.36046337751944185,0.409443745841371,14871985.196048113,1651,523678.32998296694
Overall,0 - Never used drug/used only marijuana,1,0.1425690130911253,0.0074579837692364025,0.1282349750153558,0.1582145137258904,0.68645019052132,0.020684124390710806,0.6434921835511797,0.7264324969533874,0.21270409438592633,0.01059264689789756,0.19220397977287795,0.2347552882420981,8223680.857583868,948,501078.6822311774
Overall,0 - Never used drug/used only marijuana,2,0.16335411046218537,0.0073631636390103505,0.1490980094064678,0.17868706915897453,0.6970528787119132,0.019575531139216812,0.6563586935840534,0.7348746043000952,0.24371416605001808,0.010609367907516617,0.2230402160193824,0.2656492173861828,9422609.037469288,1221,460472.3988966494
Overall,0 - Never used drug/used only marijuana,3 - 3 or more,0.10651945286219949,0.005964939562245494,0.09511831116882945,0.1191072882413729,0.7807088171161418,0.01946926976479987,0.7391175614170096,0.8173083205769027,0.15892039416066409,0.008643323243245949,0.14231856267068904,0.1770590727385309,6144266.32036289,743,382004.8139411978
Overall,1 - Illicit drug except for marijuana are ever used,Overall,0.3297307534078334,0.008428092881710909,0.3130284261605869,0.34687427974625085,0.3297307534078334,0.008428092881710909,0.3130284261605869,0.34687427974625085,1.0,0.0,N/A,N/A,19019564.11259958,2420,645738.6273724111
Overall,1 - Illicit drug except for marijuana are ever used,0,0.16369399695046943,0.005436854467174554,0.15306454343356166,0.17490916125860007,0.3883415683176897,0.01131986155102623,0.36586237463017374,0.41130609166976845,0.4964474658752911,0.017193575609165134,0.4619848550173374,0.5309438654825144,9442214.405752692,1143,375092.208673384
Overall,1 - Illicit drug except for marijuana are ever used,1,0.06512123896176182,0.004719227843109295,0.05626025156920383,0.07526652715197572,0.3135498094786802,0.020684124390710813,0.2735675030466128,0.3565078164488206,0.19749822632169053,0.012997268521045756,0.1726848671780992,0.22490777349145727,3756330.1776500954,468,289690.55101986945
Overall,1 - Illicit drug except for marijuana are ever used,2,0.07099555719007077,0.005724804172076853,0.06032225307976911,0.08338978299924474,0.3029471212880862,0.019575531139216815,0.2651253956999042,0.34364130641594604,0.21531372629430967,0.014830310819423919,0.18701956119008925,0.2465901304338887,4095173.221577341,575,336253.25151735614
Overall,1 - Illicit drug except for marijuana are ever used,3 - 3 or more,0.029919960305531096,0.0027480107278261773,0.024867310303103886,0.035961369931907565,0.21929118288385818,0.01946926976479987,0.18269167942309728,0.2608824385829905,0.09074058150870766,0.0075288048589085416,0.07671020663466036,0.10703962282859897,1725846.3076194334,234,166044.35080618746
"1 - Male, White, Not Hisp",Overall,Overall,1.0,0.0,N/A,N/A,1.0,0.0,N/A,N/A,1.0,0.0,N/A,N/A,16665271.694773832,2178,571829.9188917654
"1 - Male, White, Not Hisp",Overall,0,0.46645212057284746,0.01807503250996919,0.4303877726033168,0.5028705588194278,1.0,0.0,N/A,N/A,0.46645212057284746,0.01807503250996919,0.4303877726033168,0.5028705588194278,7773551.321949906,948,361058.6462510948
"1 - Male, White, Not Hisp",Overall,1,0.19568552639348208,0.014001592358666968,0.1690799306767541,0.22534227945204308,1.0,0.0,N/A,N/A,0.19568552639348208,0.014001592358666968,0.1690799306767541,0.22534227945204308,3261152.4640822145,390,278466.95418156614
"1 - Male, White, Not Hisp",Overall,2,0.22116042012792883,0.01296537692371286,0.19621769499902786,0.2482943644623498,1.0,0.0,N/A,N/A,0.22116042012792883,0.01296537692371286,0.19621769499902786,0.2482943644623498,3685698.4895622614,543,257105.34623532929
