RC-COMBINED GENDER BY RACE INDICATOR,ILLICIT DRUG OTHER THAN MARIJUANA - EVER USED,RECODED # R's CHILDREN < 18 IN HOUSEHOLD,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Unweighted Count,Count SE
Overall,Overall,Overall,1.0,0.0,N/A,N/A,1.0,0.0,N/A,N/A,1.0,0.0,N/A,N/A,35893451.061948776,75448,218735.86774474397
Overall,Overall,0,0.4625696601664546,0.00262914557096058,0.45729325956923406,0.4678544576941141,1.0,0.0,N/A,N/A,0.4625696601664546,0.00262914557096058,0.45729325956923406,0.4678544576941141,16603221.459926914,32873,139899.23940591817
Overall,Overall,1,0.19343643590651377,0.0021189737578597287,0.18921590918263037,0.19772814469016295,1.0,0.0,N/A,N/A,0.19343643590651377,0.0021189737578597287,0.18921590918263037,0.19772814469016295,6943101.245808243,14865,82013.43047308334
Overall,Overall,2,0.2072137427609954,0.002084411302922665,0.20305831139436548,0.21143165099649677,1.0,0.0,N/A,N/A,0.2072137427609954,0.002084411302922665,0.20305831139436548,0.21143165099649677,7437616.335155032,16455,92507.146653958
Overall,Overall,3 - 3 or more,0.13678016116603556,0.0017062010732007726,0.1333891430163906,0.14024343499327815,1.0,0.0,N/A,N/A,0.13678016116603556,0.0017062010732007726,0.1333891430163906,0.14024343499327815,4909512.021058564,11255,67239.92499817202
Overall,0 - Never used drug/used only marijuana,Overall,0.6049323562838889,0.002547097218081147,0.5998050394414203,0.6100366909875097,0.6049323562838889,0.002547097218081147,0.5998050394414203,0.6100366909875097,1.0,0.0,N/A,N/A,21713109.926065125,45728,159391.5021255429
Overall,0 - Never used drug/used only marijuana,0,0.2602975828829952,0.002275248021548398,0.25575367768100143,0.26489348472040547,0.5627208295272279,0.0037345901518003074,0.5552058978717136,0.5702070811618254,0.4302920486548419,0.003348241791788793,0.42358016354757444,0.4370296523244282,9342978.552754344,18577,95476.84823417701
Overall,0 - Never used drug/used only marijuana,1,0.11951340613811175,0.0016713649772553843,0.11619690851879064,0.12291139897664574,0.6178433012272393,0.005176737770093211,0.6073929741983382,0.6281857415382387,0.19756490935992402,0.002667036628289374,0.19226269863159098,0.20297659947542535,4289748.594465123,9091,61883.34563739901
Overall,0 - Never used drug/used only marijuana,2,0.13407256541006488,0.0017383609269184565,0.13061922969037518,0.13760275041172995,0.6470254512255345,0.004925015904339301,0.6370714321716802,0.6568535127610733,0.2216323263540989,0.0027379384723001735,0.2161818431030056,0.22718040024050196,4812327.06529609,10583,72843.18015376038
Overall,0 - Never used drug/used only marijuana,3 - 3 or more,0.09104880185271923,0.0017671210193669373,0.08756113990287541,0.0946609694214292,0.6656579512448177,0.007863794213698955,0.6496819348866935,0.681262834928967,0.15051071563113894,0.0027938339473778185,0.14498478364474038,0.15620878361329277,3268055.7135496484,7477,67808.56930534843
Overall,1 - Illicit drug except for marijuana are ever used,Overall,0.3950676437161028,0.0025470972180811477,0.389963309012482,0.40019496055857146,0.3950676437161028,0.0025470972180811477,0.389963309012482,0.40019496055857146,1.0,0.0,N/A,N/A,14180341.135883352,29720,126993.44100350978
Overall,1 - Illicit drug except for marijuana are ever used,0,0.2022720772834571,0.0020744182901095845,0.19813750161878332,0.2064707146010517,0.43727917047276726,0.003734590151800311,0.4297929188381698,0.4447941021282816,0.5119935294645659,0.004012455280936579,0.5039318560832459,0.5200489683498222,7260242.907172489,14296,91143.17520015707
Overall,1 - Illicit drug except for marijuana are ever used,1,0.0739230297684021,0.0012692612252483365,0.07141374850843357,0.0765132152957613,0.3821566987727611,0.005176737770093213,0.37181425846176175,0.3926070258016623,0.18711486740109617,0.003021523732282037,0.1811215744909041,0.19325967374840433,2653352.651343123,5774,47882.1169097048
Overall,1 - Illicit drug except for marijuana are ever used,2,0.07314117735092922,0.0012225761837435546,0.07072321208954063,0.07563508227658769,0.35297454877445916,0.004925015904339296,0.3431464872389203,0.36292856782831345,0.18513583310175802,0.002802220609330219,0.17957339565413574,0.19083049463918178,2625289.269858894,5872,46901.00459971965
Overall,1 - Illicit drug except for marijuana are ever used,3 - 3 or more,0.04573135931331685,0.0010690615203710879,0.04363144683512728,0.047927272479918924,0.3343420487551859,0.00786379421369897,0.3187371650710366,0.3503180651133103,0.11575577003258608,0.002630586279052101,0.11057597282472159,0.12114515927613065,1641456.3075089338,3778,37965.26589164486
"1 - Male, White, Not Hisp",Overall,Overall,1.0,0.0,N/A,N/A,1.0,0.0,N/A,N/A,1.0,0.0,N/A,N/A,10580227.809507579,21544,108758.81635779221
"1 - Male, White, Not Hisp",Overall,0,0.5800814793940335,0.004211296376684745,0.5716001084763969,0.5885158148963754,1.0,0.0,N/A,N/A,0.5800814793940335,0.004211296376684745,0.5716001084763969,0.5885158148963754,6137394.200065051,11947,80040.55153009364
