RC-COMBINED GENDER BY RACE INDICATOR,ILLICIT DRUG OTHER THAN MARIJUANA - EVER USED,RECODED # R's CHILDREN < 18 IN HOUSEHOLD,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Unweighted Count,Count SE
Overall,Overall,Overall,1.0,0.0,N/A,N/A,1.0,0.0,N/A,N/A,1.0,0.0,N/A,N/A,24939368.70924776,230092,94428.03761133838
Overall,Overall,0,0.9958283805977574,0.00018055094556530227,0.9954495778105028,0.9961757708494997,1.0,0.0,N/A,N/A,0.9958283805977574,0.00018055094556530227,0.9954495778105028,0.9961757708494997,24835331.15486058,229006,94297.343976244
Overall,Overall,1,0.0038338635200434327,0.00016778294189464767,0.003511197708304481,0.004186056540208548,1.0,0.0,N/A,N/A,0.0038338635200434327,0.00016778294189464767,0.003511197708304481,0.004186056540208548,95614.13590729766,1007,4190.490428181059
Overall,Overall,2,0.0003313627662188512,5.400677008652075e-05,0.00023884985504448188,0.00045969191624077246,1.0,0.0,N/A,N/A,0.0003313627662188512,5.400677008652075e-05,0.00023884985504448188,0.00045969191624077246,8263.978203248198,75,1346.360468429006
Overall,Overall,3 - 3 or more,6.393115981559629e-06,3.8160709380249544e-06,1.9276533174184476e-06,2.1202728101353082e-05,1.0,0.0,N/A,N/A,6.393115981559629e-06,3.8160709380249544e-06,1.9276533174184476e-06,2.1202728101353082e-05,159.4402766651,4,95.13062182107032
Overall,0 - Never used drug/used only marijuana,Overall,0.8209355027616501,0.0008454929879867274,0.8192309793702315,0.8226274335707965,0.8209355027616501,0.0008454929879867274,0.8192309793702315,0.8226274335707965,1.0,0.0,N/A,N/A,20473613.189884473,187532,78999.35179318367
Overall,0 - Never used drug/used only marijuana,0,0.818053340152899,0.0008752920877233338,0.8162886552998492,0.8198048158363244,0.8214802430734633,0.0008580274962419589,0.8197503285001898,0.823197135915685,0.9964891729020668,0.00017341474869046712,0.996123064429005,0.9968208191999633,20401733.873904824,186803,79329.34444964232
Overall,0 - Never used drug/used only marijuana,1,0.0026127368570246575,0.00013251030243574533,0.002359658589273034,0.0028928795851774778,0.6814892714269231,0.019260585998069048,0.6416190829141347,0.718867371902884,0.0031826335299610475,0.00016186700109988047,0.0028735226529467274,0.003524878568312986,65160.007817579084,668,3291.7049726385812
Overall,0 - Never used drug/used only marijuana,2,0.0002633987886830932,5.0922301389855094e-05,0.0001786344261317484,0.00038836932192187285,0.7948955511468944,0.06731210735359741,0.6284160571569009,0.8987993895618693,0.0003208519887336001,6.203984559944949e-05,0.000217583823716158,0.0004731093995453094,6568.999508536898,58,1268.3483107686252
Overall,0 - Never used drug/used only marijuana,3 - 3 or more,6.026963042102348e-06,3.7984701424745774e-06,1.6995327008522153e-06,2.137286517037049e-05,0.9427269987728338,0.06381378169071918,0.605167362086836,0.9943747666801915,7.341579237135531e-06,4.626934923711926e-06,2.0702754599756836e-06,2.6034246809813298e-05,150.308653504,3,94.69133363992273
Overall,1 - Illicit drug except for marijuana are ever used,Overall,0.17906449723834048,0.0008454929879867296,0.17737256642919402,0.18076902062975908,0.17906449723834048,0.0008454929879867296,0.17737256642919402,0.18076902062975908,1.0,0.0,N/A,N/A,4465755.51936305,42560,27874.3632334846
Overall,1 - Illicit drug except for marijuana are ever used,0,0.1777750404448465,0.0008532677836438653,0.17606767174897994,0.17949535896604873,0.17851975692652483,0.0008580274962419609,0.1768028640843031,0.18024967149979834,0.9927989254521087,0.0005382546797959774,0.9916331544303155,0.9938032820517265,4433597.28095546,42203,27795.20790359476
Overall,1 - Illicit drug except for marijuana are ever used,1,0.0012211266630187717,9.360009569745088e-05,0.0010468680363620673,0.0014243505180122644,0.31851072857307605,0.019260585998069048,0.2811326280971152,0.35838091708586445,0.006819479471653244,0.0005246388855597067,0.005842635314608242,0.007958337135598192,30454.12808971849,339,2346.3724929518094
